symbol,displaySymbol,name,category,format,specLabel,hedgeLabel
GC,XAU/USD,Gold,Metals,legacy,Managed Money,Producer/Merchant
SI,XAG/USD,Silver,Metals,legacy,Managed Money,Producer/Merchant
ES,ES,S&P 500 E-Mini,Equity Indices,financial,Leveraged Funds,Dealer/Intermediary
NIY,NIY,Nikkei/Yen,Equity Indices,financial,Leveraged Funds,Dealer/Intermediary
NQ,NQ,NASDAQ 100 E-Mini,Equity Indices,financial,Leveraged Funds,Dealer/Intermediary
YM,YM,Dow Jones E-Mini,Equity Indices,financial,Leveraged Funds,Dealer/Intermediary
6A,AUD/USD,AUD/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
6B,GBP/USD,GBP/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
6C,CAD/USD,CAD/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
6E,EUR/USD,EUR/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
6J,JPY/USD,JPY/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
6N,NZD/USD,NZD/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
6S,CHF/USD,CHF/USD,FX Majors,financial,Leveraged Funds,Dealer/Intermediary
